Name,PV_walls_south_E_kWh,PV_walls_north_E_kWh,PV_roofs_top_E_kWh,PV_walls_east_E_kWh,PV_walls_west_E_kWh,E_PV_gen_kWh,radiation_kWh,PV_walls_south_m2,PV_walls_north_m2,PV_roofs_top_m2,PV_walls_east_m2,PV_walls_west_m2,Area_PV_m2
B047,0.00,0.00,8270.50,0.00,0.00,8270.50,85966.66,0.00,0.00,77.64,0.00,0.00,77.64
B048,0.00,0.00,4554.33,0.00,0.00,4554.33,47304.15,0.00,0.00,42.69,0.00,0.00,42.69
B049,0.00,0.00,5969.96,0.00,0.00,5969.96,61625.56,0.00,0.00,56.41,0.00,0.00,56.41
B050,0.00,0.00,7891.56,0.00,0.00,7891.56,81973.89,0.00,0.00,73.98,0.00,0.00,73.98
B051,0.00,0.00,59588.10,0.00,0.00,59588.10,619052.95,0.00,0.00,557.96,0.00,0.00,557.96
B052,0.00,0.00,9820.78,0.00,0.00,9820.78,102022.14,0.00,0.00,92.02,0.00,0.00,92.02
B053,0.00,0.00,13424.67,0.00,0.00,13424.67,139452.85,0.00,0.00,125.70,0.00,0.00,125.70
B054,0.00,0.00,9631.73,0.00,0.00,9631.73,100054.14,0.00,0.00,90.23,0.00,0.00,90.23
B055,0.00,0.00,15793.71,0.00,0.00,15793.71,163994.16,0.00,0.00,148.07,0.00,0.00,148.07
B056,0.00,0.00,7098.37,0.00,0.00,7098.37,73708.33,0.00,0.00,66.63,0.00,0.00,66.63
B057,0.00,0.00,6559.42,0.00,0.00,6559.42,68101.42,0.00,0.00,61.59,0.00,0.00,61.59
B058,0.00,0.00,6818.53,0.00,0.00,6818.53,70441.65,0.00,0.00,66.10,0.00,0.00,66.10
B059,0.00,0.00,4913.35,0.00,0.00,4913.35,50969.43,0.00,0.00,47.07,0.00,0.00,47.07
B060,0.00,0.00,8680.98,0.00,0.00,8680.98,89714.58,0.00,0.00,82.94,0.00,0.00,82.94
B061,0.00,0.00,8493.46,0.00,0.00,8493.46,87566.23,0.00,0.00,81.13,0.00,0.00,81.13
B062,0.00,0.00,43464.59,0.00,0.00,43464.59,451355.49,0.00,0.00,407.48,0.00,0.00,407.48
B063,0.00,0.00,2348.81,0.00,0.00,2348.81,24034.30,0.00,0.00,27.97,0.00,0.00,27.97
B064,0.00,0.00,6486.48,0.00,0.00,6486.48,67532.36,0.00,0.00,70.63,0.00,0.00,70.63
B065,0.00,0.00,8723.53,0.00,0.00,8723.53,92012.78,0.00,0.00,99.54,0.00,0.00,99.54
B066,0.00,0.00,10694.08,0.00,0.00,10694.08,111957.96,0.00,0.00,120.77,0.00,0.00,120.77
B067,0.00,0.00,560.08,0.00,0.00,560.08,5621.59,0.00,0.00,6.95,0.00,0.00,6.95
B068,0.00,0.00,12265.08,0.00,0.00,12265.08,127405.77,0.00,0.00,115.16,0.00,0.00,115.16
